delta_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,lower_reference_hz,upper_reference_hz,upper_frame_fraction,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,branch
1.9,psola,PSOLA,882.0077493686478,440.95,881.9,1.0,0.002917887685043752,0.9970009182924059,1.0,upper_branch
2.0,psola,PSOLA,882.0307603377066,441.0,882.0,1.0,0.002867458556465863,0.9970399016081715,1.0,upper_branch
2.1,psola,PSOLA,882.0537282497055,441.05,882.1,1.0,0.0028571179345817654,0.9970786081314743,1.0,upper_branch
2.2,psola,PSOLA,882.0766909972335,441.1,882.2,1.0,0.0028311443940083336,0.9971254238649822,1.0,upper_branch
2.3,psola,PSOLA,882.0997049339215,441.15,882.3,1.0,0.0027692052243537546,0.9971932632755116,1.0,upper_branch
2.4,psola,PSOLA,882.1229152860302,441.2,882.4,1.0,0.0033607659520384914,0.9973265078487563,1.0,upper_branch
2.5,psola,PSOLA,882.1459697996071,441.25,882.5,1.0,0.004624787272859976,0.9976074794517261,1.0,upper_branch
2.6,psola,PSOLA,882.1692239468462,441.3,882.6,1.0,0.006614465002940051,0.9959933025082212,1.0,upper_branch
2.7,psola,PSOLA,882.1924679017933,441.35,882.7,1.0,0.006002769322662971,0.9965052453154191,1.0,upper_branch
2.8,psola,PSOLA,882.2153470488844,441.4,882.8,1.0,0.005841429118845554,0.9966485408004219,1.0,upper_branch
2.9,psola,PSOLA,882.2384029942052,441.45,882.9,1.0,0.006131792711698836,0.9967259187864758,1.0,upper_branch
3.0,psola,PSOLA,882.2612309685511,441.5,883.0,1.0,0.005953384186568655,0.9967832628332624,1.0,upper_branch
3.1,psola,PSOLA,882.2842354021936,441.55,883.1,1.0,0.006179028103019846,0.9968383564835669,1.0,upper_branch
3.2,psola,PSOLA,882.3071596389193,441.6,883.2,1.0,0.0058563867903558275,0.9968998984311519,1.0,upper_branch
3.3,psola,PSOLA,882.3302266329722,441.65,883.3,1.0,0.005108606129624604,0.9969838910148361,1.0,upper_branch
3.4,psola,PSOLA,882.3533658147848,441.7,883.4,1.0,0.006519920037931115,0.997134233814749,1.0,upper_branch
3.5,psola,PSOLA,882.3765448365696,441.75,883.5,1.0,0.00800361160418106,0.997351679297867,1.0,upper_branch
3.6,psola,PSOLA,882.3999666827339,441.8,883.6,1.0,0.010246953743603626,0.9954312039920142,1.0,upper_branch
3.7,psola,PSOLA,882.4232759449959,441.85,883.7,1.0,0.010062457970320793,0.9960783457203801,1.0,upper_branch
3.8,psola,PSOLA,882.4462415809229,441.9,883.8,1.0,0.009940273985193926,0.996309701152376,1.0,upper_branch
3.9,psola,PSOLA,882.4694009817854,441.95,883.9,1.0,0.008962951533931118,0.9964217884287891,1.0,upper_branch
4.0,psola,PSOLA,882.4922001970868,442.0,884.0,1.0,0.010092788645579276,0.9965021752067231,1.0,upper_branch
4.1,psola,PSOLA,882.5148287423971,442.05,884.1,1.0,0.011233156440084713,0.9965735002144575,1.0,upper_branch
4.2,psola,PSOLA,882.5378688730693,442.1,884.2,1.0,0.009835847606154857,0.9966477412399827,1.0,upper_branch
4.3,psola,PSOLA,882.5612779508565,442.15,884.3,1.0,0.008321788745547565,0.9967445306743533,1.0,upper_branch
4.4,psola,PSOLA,882.584078444859,442.2,884.4,1.0,0.010443573984048271,0.9969029519215256,1.0,upper_branch
4.5,psola,PSOLA,882.6073980969655,442.25,884.5,1.0,0.012174665420616293,0.9970731655479386,1.0,upper_branch
4.6,psola,PSOLA,882.6308491537412,442.3,884.6,1.0,0.014419669991411865,0.9950527336867491,1.0,upper_branch
4.7,psola,PSOLA,882.6541352174911,442.35,884.7,1.0,0.014745439315106523,0.9955991208731708,1.0,upper_branch
4.8,psola,PSOLA,882.6771829037882,442.4,884.8,1.0,0.014176267763218675,0.9959318144024639,1.0,upper_branch
4.9,psola,PSOLA,882.7000810499532,442.45,884.9,1.0,0.014157239108271824,0.9960886443945712,1.0,upper_branch
5.0,psola,PSOLA,882.7227489692857,442.5,885.0,1.0,0.013904657025250344,0.9961918274774344,1.0,upper_branch
0.0,phase_vocoder,Phase Vocoder,439.40026355973674,440.0,880.0,0.0,5.348644265268376e-06,0.9945884637302482,1.0,lower_branch
0.1,phase_vocoder,Phase Vocoder,439.4501803068433,440.05,880.1,0.0,5.674839087532746e-06,0.9939888676841682,1.0,lower_branch
0.2,phase_vocoder,Phase Vocoder,439.50015741554,440.1,880.2,0.0,0.00012894419052145167,0.9933139627983969,1.0,lower_branch
0.3,phase_vocoder,Phase Vocoder,439.5503455349772,440.15,880.3,0.0,0.002938451642535256,0.9935003155157495,1.0,lower_branch
0.4,phase_vocoder,Phase Vocoder,439.60128717020723,440.2,880.4,0.0,0.0220671157861716,0.9939829284967724,1.0,lower_branch
0.5,phase_vocoder,Phase Vocoder,439.6681276563207,440.25,880.5,0.0,0.062028537468791,0.9945879630515325,1.0,lower_branch
0.6,phase_vocoder,Phase Vocoder,439.71577951707224,440.3,880.6,0.0,0.03047230155283387,0.9952515176089137,1.0,lower_branch
0.7,phase_vocoder,Phase Vocoder,439.7770882796986,440.35,880.7,0.0,0.07017117365859349,0.9953214482096326,1.0,lower_branch
0.8,phase_vocoder,Phase Vocoder,439.878893092397,440.4,880.8,0.0,0.23744922364591048,0.994128380940282,1.0,lower_branch
0.9,phase_vocoder,Phase Vocoder,439.92169256932357,440.45,880.9,0.0,0.2278885608117207,0.9951993440330907,1.0,lower_branch
1.0,phase_vocoder,Phase Vocoder,439.9126337425966,440.5,881.0,0.0,0.034396582683314136,0.9942441980776973,1.0,lower_branch
1.1,phase_vocoder,Phase Vocoder,439.96315306169555,440.55,881.1,0.0,0.03376666912777182,0.9937405577588866,1.0,lower_branch
1.2,phase_vocoder,Phase Vocoder,440.096491693688,440.6,881.2,0.0,0.15882356257623087,0.9953757598261814,1.0,lower_branch
1.3,phase_vocoder,Phase Vocoder,440.0892900713749,440.65,881.3,0.0,0.11730979479000325,0.9890839618590364,1.0,lower_branch
