signal_family,signal_name,signal_label,depth_semitones,rate_hz,shift_semitones,algorithm,algorithm_label,implementation,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,61.455118943018256,1.828754333139849,433.6248906642037,0.10254488638802754,0.8475891932369464,0.41149487832245735,0.4538763193158104
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,37.14205039763373,1.6880742133282562,449.7305102470746,0.06157079756875613,0.771862202693835,0.42827101170549237,0.42056800398936117
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.6363147803804773,0.3700164757349785,236.70376899088188,4.877081174571893e-05,0.062362196838879363,0.20637547970944037,0.08959548245335515
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8870422657889694,0.4734772006292871,110.6356666538589,0.0004713143601827743,0.11805428287170013,0.07505887377139017,0.06452815700109103
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,364.3437826699439,1.9574437350296117,211.10124342126204,0.612994111944686,0.9168616756101214,0.1797070624102194,0.5698542833216756
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,234.4593172453888,1.8926394494715095,218.45801815417147,0.39410369864226513,0.8819780436784468,0.18737011651088198,0.48781728627719795
subtle_modulation,vibrato_depth_0.1_rate_2,0.1 st / 2 Hz,0.1,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.7472214535049732,0.3983527511910465,215.17309046762344,0.00023567851805890102,0.07761538873523598,0.1839484297673453,0.08726649900688006
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.6726931270138814,0.3434812876508433,47.67462741611929,0.0001100781536500507,0.04807851596202103,0.009476622386899239,0.019221738834190105
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,192.4874479846012,2.021064861944433,265.2512572901801,0.32336975998733425,0.9511084226463985,0.23611146527618057,0.5035298826366378
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,102.17668876158253,1.9103360732495505,277.5834952756165,0.1711717327069699,0.891503995627304,0.2489571225506791,0.4372109502949843
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.6953030102924324,0.487431621792623,782.3852621001931,0.000148181915169062,0.12556583689145617,0.7747749421425197,0.30016298698304833
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.6718351716717409,0.4236848170426671,119.1882648668208,0.00010863226711679751,0.09125143847525806,0.08396753622016381,0.05844253565417956
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,291.363797136984,2.058111545730159,332.3416624257478,0.49000312034382104,0.9710503581270656,0.30599499751067977,0.5890161586605221
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,174.83349072664595,1.9505840937713324,346.0775467369408,0.29361807268596324,0.913169185232728,0.32030273811965265,0.509029998679448
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.6505335766919504,0.4504102903586481,913.214112446076,7.273332482307496e-05,0.1056375483802675,0.9110504969237795,0.33892025954295674
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.6634369651972362,0.4429696140595456,230.25974538217085,9.447902038175051e-05,0.10163229145774634,0.19966317665106328,0.10046331570973045
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,86.2798596834586,1.8694404386740875,432.46673029789326,0.1443812810872595,0.8694902005232183,0.4102885010897036,0.4747199942333939
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,53.40914397818186,1.728222718142269,448.50090603636016,0.08898524490421225,0.7934738237845945,0.4269902162575963,0.43648309498213433
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.6363293598117092,0.3679372933637188,266.4061097229517,4.879538202606497e-05,0.061242989491198295,0.23731439685855227,0.0995353939105922
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8868972703078489,0.4714028411019516,110.63093192698295,0.0004710700036256934,0.11693767162257745,0.07505394192699918,0.06415422785106745
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,367.3868866797243,1.9580734113300788,211.06034329138157,0.6181225643138417,0.917200625358775,0.17966445951433405,0.5716625497289836
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,236.6533691136748,1.893268795755899,218.4122480724136,0.39780126877650906,0.8823168157820682,0.1873224409158779,0.48914684182481843
subtle_modulation,vibrato_depth_0.2_rate_2,0.2 st / 2 Hz,0.2,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.732876531725363,0.4056760431395128,215.52646512520985,0.0002115034494941877,0.08155745859463517,0.1843165162206078,0.08869515942157906
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.7013557761944286,0.3584966997494703,46.88730958064546,0.00015838246090468986,0.05616119297080153,0.008656526708195951,0.021658700713300724
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,255.0683791559132,2.055033324580563,264.62987018468766,0.42883553562234034,0.9693933761441299,0.23546420840347224,0.5445643733899809
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,164.4413754242555,1.9661357144936424,276.5998354875066,0.2761045509095814,0.9215404990825147,0.2479325107545325,0.48185918691554286
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.6963502999988819,0.4926900282707083,830.4487032758014,0.00014994688125598225,0.12839639531130326,0.8248393743651222,0.3177952388525605
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.6992476679276889,0.4323439380075309,118.46906857983628,0.00015482972895722742,0.09591257447866842,0.08321839814590631,0.059761934117843994
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,291.16657159361944,2.0580283715194563,332.2288708195472,0.4896707420215964,0.97100558611041,0.30587751013179487,0.588851279421267
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,174.6554574703917,1.9501381694133813,346.00827945930166,0.2933180385524301,0.9129291476944978,0.3202305870867306,0.5088259244445529
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.6508865530348291,0.4531069277300881,965.2409787487128,7.33281853194872e-05,0.10708912684777752,0.9652433607315549,0.35746860525488394
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.6936744783500585,0.4525990327611719,228.26349371977864,0.00014543739888855673,0.10681573102213052,0.19758381646364054,0.10151499496155321
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,97.10662562542936,1.8841423942061428,431.84250288420475,0.16262730661479363,0.8774041463531781,0.4096382856602691,0.48322324620941365
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,57.39044988088942,1.7365530147562371,448.0349291467438,0.09569482092378043,0.7979579562530067,0.42650483968369973,0.44005253895349566
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.6363688394456454,0.361284612838083,320.43239669142827,4.886191587490564e-05,0.05766190443151919,0.29358992179006355,0.11710022937915254
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8855566274382741,0.4667646697371219,110.98796931026509,0.00046881065820780256,0.11444098083533485,0.07542584359361008,0.06344521169571758
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,278.43562220761584,1.9265710796681872,211.3489311558911,0.46821565296436646,0.9002431705667195,0.17996506195206247,0.5161412951610495
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,183.27312679198,1.8644798526903317,218.7021126101279,0.3078411394740084,0.8668199565087601,0.1876243731776382,0.45409515638680215
subtle_modulation,vibrato_depth_0.35_rate_2,0.35 st / 2 Hz,0.35,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.7059845785877493,0.4201795749158707,216.0317857628493,0.0001661832434359753,0.08936459449372947,0.18484287451279394,0.09145788408331978
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.7032213271843757,0.3546252517365452,46.54957980325852,0.00016152641831246363,0.05407722327092097,0.00830473646729818,0.02084782871884387
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,286.8649719086729,2.07138016186642,264.47544046012746,0.4824213844496823,0.9781927487506766,0.23530334941607364,0.5653058275388109
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,182.52042184281456,1.9804571869533296,276.46631115370275,0.30657262828693876,0.9292496338982272,0.24779342749714842,0.49453856322743817
