case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
beating_rate_5_0hz,beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",12,0.033572710702442186,0.2981650883902021,0.0873212245384547,0.49982900470731834,0.41250778016886364
beating_rate_10_0hz,beating_rate,10 Hz,10.0,Hz beat rate,"{""beat_rate_hz"": 10.0, ""frequencies_hz"": ""440,450""}",-12,0.04726842796197081,0.3168368587808824,0.06700350958283657,0.5350392250395242,0.4680357154566876
beating_rate_10_0hz,beating_rate,10 Hz,10.0,Hz beat rate,"{""beat_rate_hz"": 10.0, ""frequencies_hz"": ""440,450""}",3,0.04416981736199238,0.33684118019146686,0.024446640811233877,0.6034370308819591,0.5789903900707252
beating_rate_10_0hz,beating_rate,10 Hz,10.0,Hz beat rate,"{""beat_rate_hz"": 10.0, ""frequencies_hz"": ""440,450""}",7,0.051600791221375744,0.3094791763009429,0.07768435403361325,0.5717291807471655,0.49404482671355227
beating_rate_10_0hz,beating_rate,10 Hz,10.0,Hz beat rate,"{""beat_rate_hz"": 10.0, ""frequencies_hz"": ""440,450""}",12,0.03468039246610341,0.31673501848981755,0.10821036659011307,0.5225446102984186,0.4143342437083055
three_oscillators_07hz,three_oscillators,440 + 443 + 447,7.0,Hz spread,"{""frequencies_hz"": ""440,443,447"", ""spread_hz"": 7.0}",-12,0.06994388561363635,0.35020150119307325,0.05972624602761886,0.6886602292999643,0.6289339832723454
three_oscillators_07hz,three_oscillators,440 + 443 + 447,7.0,Hz spread,"{""frequencies_hz"": ""440,443,447"", ""spread_hz"": 7.0}",3,0.03843340255391928,0.31734282906019906,0.017136381722494768,0.5471149895085926,0.5299786077860978
three_oscillators_07hz,three_oscillators,440 + 443 + 447,7.0,Hz spread,"{""frequencies_hz"": ""440,443,447"", ""spread_hz"": 7.0}",7,0.045851013161429525,0.29354127489527826,0.07119770144249976,0.5564358314817206,0.48523813003922084
three_oscillators_07hz,three_oscillators,440 + 443 + 447,7.0,Hz spread,"{""frequencies_hz"": ""440,443,447"", ""spread_hz"": 7.0}",12,0.035613583007987455,0.30039467411456394,0.08605965637528623,0.5132579874379634,0.42719833106267713
three_oscillators_20hz,three_oscillators,440 + 450 + 460,20.0,Hz spread,"{""frequencies_hz"": ""440,450,460"", ""spread_hz"": 20.0}",-12,0.05603830920260776,0.3354157156297828,0.06980839509462257,0.619491708162628,0.5496833130680054
three_oscillators_20hz,three_oscillators,440 + 450 + 460,20.0,Hz spread,"{""frequencies_hz"": ""440,450,460"", ""spread_hz"": 20.0}",3,0.041693665818756095,0.3445683868802699,0.028736963393826902,0.5922625406401975,0.5635255772463705
three_oscillators_20hz,three_oscillators,440 + 450 + 460,20.0,Hz spread,"{""frequencies_hz"": ""440,450,460"", ""spread_hz"": 20.0}",7,0.03389296006662128,0.31322284633286374,0.08226455492525271,0.5444681271814281,0.4622035722561754
three_oscillators_20hz,three_oscillators,440 + 450 + 460,20.0,Hz spread,"{""frequencies_hz"": ""440,450,460"", ""spread_hz"": 20.0}",12,0.027624926427134655,0.2860847447215653,0.09293391126751505,0.5038457825638017,0.4109118712962867
three_oscillators_80hz,three_oscillators,440 + 480 + 520,80.0,Hz spread,"{""frequencies_hz"": ""440,480,520"", ""spread_hz"": 80.0}",-12,0.04681230165264855,0.3599637089824788,0.10022411981115036,0.6330160931426311,0.5327919733314808
three_oscillators_80hz,three_oscillators,440 + 480 + 520,80.0,Hz spread,"{""frequencies_hz"": ""440,480,520"", ""spread_hz"": 80.0}",3,0.03146165683431246,0.2776192946418262,0.021008529677154306,0.4785796312277337,0.4575711015505794
three_oscillators_80hz,three_oscillators,440 + 480 + 520,80.0,Hz spread,"{""frequencies_hz"": ""440,480,520"", ""spread_hz"": 80.0}",7,0.034001762302645955,0.2765776169475404,0.09488025875676742,0.5097927472112899,0.41491248845452244
three_oscillators_80hz,three_oscillators,440 + 480 + 520,80.0,Hz spread,"{""frequencies_hz"": ""440,480,520"", ""spread_hz"": 80.0}",12,0.020650828650022074,0.3404452767059656,0.16897300009138672,0.49823069303506823,0.3292576929436815
two_oscillators_00hz,two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",-12,0.05777134236981646,0.33830063210909145,0.07425295127496995,0.6409873344620014,0.5667343831870315
