case_id,case_family,case_label,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,77,1.787936507936508,,,0.9604999879098756
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,78,1.811156462585034,,,0.960473669215677
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,79,1.8343764172335602,,,0.9605027046040651
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,80,1.8575963718820863,,,0.9604999599832853
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,81,1.8808163265306121,,,0.9605602349965213
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,82,1.9040362811791383,,,0.9605879834364975
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,83,1.9272562358276644,,,0.9602027802251268
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,84,1.9504761904761905,,,0.9592241865260567
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,85,1.9736961451247166,,,0.9571034934554704
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,86,1.9969160997732427,,,0.9542565364372115
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,0,0.0,717.3695159239483,1434.7390318478965,0.380271313374334
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,1,0.023219954648526078,717.3665816125854,1434.7331632251708,0.3814644696120207
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,2,0.046439909297052155,717.350095388089,1434.700190776178,0.38966326429255144
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,3,0.06965986394557823,717.1728803028101,1434.3457606056202,0.49662593934831806
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,4,0.09287981859410431,,,0.9996651037188076
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,5,0.11609977324263039,,,0.9598433582586499
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,6,0.13931972789115646,,,0.9562477886937117
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,7,0.16253968253968254,,,0.9542870398210266
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,8,0.18575963718820862,,,0.9543220378872537
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,9,0.2089795918367347,,,0.9549894425345701
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,10,0.23219954648526078,,,0.95480672455079
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,11,0.25541950113378686,,,0.9543141149332955
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,12,0.2786394557823129,,,0.954321782733742
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,13,0.301859410430839,,,0.9545352861338641
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,14,0.3250793650793651,,,0.9545448224798393
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,15,0.34829931972789113,,,0.9544572179986682
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,16,0.37151927437641724,,,0.9544544991468373
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,17,0.3947392290249433,,,0.9544891165162395
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,18,0.4179591836734694,,,0.9544819116194824
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,19,0.44117913832199546,,,0.9544696984129151
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,20,0.46439909297052157,,,0.954494764933716
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,21,0.4876190476190476,,,0.954510075600501
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,22,0.5108390022675737,,,0.9544845425956263
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,23,0.5340589569160997,,,0.9544665283664158
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,24,0.5572789115646258,,,0.9544839576546322
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,25,0.5804988662131519,,,0.9545004238335304
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,26,0.603718820861678,,,0.9544960808182095
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,27,0.626938775510204,,,0.9544941763384696
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,28,0.6501587301587302,,,0.9545043680399694
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,29,0.6733786848072563,,,0.9545040010459459
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,30,0.6965986394557823,,,0.9544938534255035
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,31,0.7198185941043084,,,0.954496581367558
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,32,0.7430385487528345,,,0.9545014310737009
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,33,0.7662585034013606,,,0.9544813809555036
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,34,0.7894784580498866,,,0.9544457875648056
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,35,0.8126984126984127,,,0.9544344121325209
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,36,0.8359183673469388,,,0.954455890445056
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,37,0.8591383219954648,,,0.9544694523599884
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,38,0.8823582766439909,,,0.9544632489246467
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,39,0.905578231292517,,,0.9544741780729046
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,40,0.9287981859410431,,,0.9545032526365396
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,41,0.9520181405895691,,,0.9545117182369662
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,42,0.9752380952380952,,,0.9544910246778676
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,43,0.9984580498866213,,,0.9544656684415698
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,44,1.0216780045351475,,,0.9544548225881323
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,45,1.0448979591836736,,,0.954459969506511
