policy_id,threshold,micro_bonus,micro_rms_threshold,micro_strength_threshold,case_count,fixed_danger_cases,adaptive_catastrophic_cases,avoided_fixed_danger_cases,missed_fixed_danger_cases,introduced_catastrophic_cases,phase_vocoder_count,psola_count,rubberband_count,wsola_count,mean_selected_stress,max_selected_stress,p90_selected_stress
thr0.55_bonus0.15_rms0.7_str0.40,0.55,0.15,0.7,0.4,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.5_str0.30,0.55,0.2,0.5,0.3,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.5_str0.35,0.55,0.2,0.5,0.35,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.5_str0.40,0.55,0.2,0.5,0.4,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.7_str0.30,0.55,0.2,0.7,0.3,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.7_str0.35,0.55,0.2,0.7,0.35,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.55_bonus0.20_rms0.7_str0.40,0.55,0.2,0.7,0.4,144,81,0,81,0,0,74,62,8,0,0.18970648843580898,0.5021038879452818,0.32774074132021536
thr0.45_bonus0.00_rms0.5_str0.30,0.45,0.0,0.5,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms0.5_str0.35,0.45,0.0,0.5,0.35,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms0.5_str0.40,0.45,0.0,0.5,0.4,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms0.7_str0.30,0.45,0.0,0.7,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms0.7_str0.35,0.45,0.0,0.7,0.35,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms0.7_str0.40,0.45,0.0,0.7,0.4,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms1_str0.30,0.45,0.0,1.0,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms1_str0.35,0.45,0.0,1.0,0.35,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms1_str0.40,0.45,0.0,1.0,0.4,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms2_str0.30,0.45,0.0,2.0,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms2_str0.35,0.45,0.0,2.0,0.35,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms2_str0.40,0.45,0.0,2.0,0.4,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms5_str0.30,0.45,0.0,5.0,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms5_str0.35,0.45,0.0,5.0,0.35,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms5_str0.40,0.45,0.0,5.0,0.4,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
thr0.45_bonus0.00_rms10_str0.30,0.45,0.0,10.0,0.3,144,81,0,81,0,0,77,67,0,0,0.17963031431997833,0.3580686979345802,0.31860553267272124
