policy_id,depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_stress,selected_catastrophic,fixed_danger,fixed_catastrophic_count,safe_mode,policy_risk_score
thr0.50_bonus0.06_rms5_str0.30,0.1,4.0,3,psola,0.2902014464916345,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.1,4.0,7,psola,0.3179524105274108,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.1,4.0,12,phase_vocoder,0.0842387005441217,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,4.0,-12,phase_vocoder,0.0508389031938389,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,4.0,3,psola,0.2974640020924209,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.2,4.0,7,psola,0.3253655832853017,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.2,4.0,12,phase_vocoder,0.0881583127682632,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,4.0,-12,phase_vocoder,0.050475075203522,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,4.0,3,psola,0.3008383702513395,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.35,4.0,7,psola,0.334513915734996,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.35,4.0,12,phase_vocoder,0.0909081104804176,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,4.0,-12,phase_vocoder,0.051218400868292,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,4.0,3,psola,0.2979479858902422,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.5,4.0,7,psola,0.3436329250736759,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.5,4.0,12,phase_vocoder,0.09341357641824,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,4.0,-12,phase_vocoder,0.051022583831704,False,True,1,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,0.75,4.0,3,psola,0.3188854421635685,False,True,1,False,0.46
thr0.50_bonus0.06_rms5_str0.30,0.75,4.0,7,phase_vocoder,0.0505712456178021,False,True,1,True,0.54
thr0.50_bonus0.06_rms5_str0.30,0.75,4.0,12,phase_vocoder,0.0976971086314594,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,1.0,4.0,-12,phase_vocoder,0.05110179996547,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,1.0,4.0,3,psola,0.3141752575785989,False,False,0,False,0.46
thr0.50_bonus0.06_rms5_str0.30,1.0,4.0,7,phase_vocoder,0.053238529573384,False,True,1,True,0.54
thr0.50_bonus0.06_rms5_str0.30,1.0,4.0,12,phase_vocoder,0.1021633542636557,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,0.0,5.5,-12,rubber_band,0.5021038879452818,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.0,5.5,3,psola,0.2832366002017541,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.0,5.5,7,psola,0.3120960236213002,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.0,5.5,12,rubber_band,0.3823508817496397,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,5.5,-12,rubber_band,0.5120119242298234,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,5.5,3,psola,0.2838647094417952,False,True,1,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.025,5.5,7,psola,0.3115129742654922,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.025,5.5,12,rubber_band,0.4194051711912142,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,5.5,-12,rubber_band,0.4926520886062593,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,5.5,3,psola,0.2846335392267266,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.05,5.5,7,psola,0.3118411627167338,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.05,5.5,12,rubber_band,0.3915603150332702,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,5.5,-12,rubber_band,0.4956402415317568,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,5.5,3,psola,0.2861888343485951,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.1,5.5,7,psola,0.3135606248463161,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.1,5.5,12,rubber_band,0.4382224900104143,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.2,5.5,-12,phase_vocoder,0.0510848049007374,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,5.5,3,psola,0.2884610888630615,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.2,5.5,7,psola,0.3142066075622506,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.2,5.5,12,phase_vocoder,0.0893532659680324,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,5.5,-12,phase_vocoder,0.0515416184739261,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,5.5,3,psola,0.2916521361069722,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.35,5.5,7,psola,0.3232207079418384,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.35,5.5,12,phase_vocoder,0.0932532094088049,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,5.5,-12,phase_vocoder,0.050937039919573,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,5.5,3,psola,0.2953667000127746,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.5,5.5,7,psola,0.3350656124803807,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.5,5.5,12,phase_vocoder,0.0962325718943036,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,5.5,-12,phase_vocoder,0.0517195287578427,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,5.5,3,psola,0.3078493523795241,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.75,5.5,7,psola,0.3312777372070482,False,False,0,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.75,5.5,12,phase_vocoder,0.100149888989157,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,1.0,5.5,-12,phase_vocoder,0.0522551852359908,False,True,1,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,1.0,5.5,3,psola,0.3151145011422223,False,True,1,False,0.46
thr0.50_bonus0.06_rms5_str0.30,1.0,5.5,7,phase_vocoder,0.0588405015507631,False,True,1,True,0.54
thr0.50_bonus0.06_rms5_str0.30,1.0,5.5,12,phase_vocoder,0.1053615479463261,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,0.0,8.0,-12,rubber_band,0.5021038879452818,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.0,8.0,3,psola,0.2832366002017541,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.0,8.0,7,psola,0.3120960236213002,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.0,8.0,12,rubber_band,0.3823508817496397,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,8.0,-12,rubber_band,0.4806580499280899,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,8.0,3,psola,0.2837887072062224,False,True,1,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.025,8.0,7,psola,0.3123638835944705,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.025,8.0,12,rubber_band,0.4148008090721209,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,8.0,-12,rubber_band,0.5031020349283709,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,8.0,3,psola,0.2846020106910973,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.05,8.0,7,psola,0.3137870878123036,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.05,8.0,12,rubber_band,0.415176686749984,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,8.0,-12,rubber_band,0.5059319462318401,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,8.0,3,psola,0.2864340537768851,False,True,1,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.1,8.0,7,psola,0.3168420774544681,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.1,8.0,12,rubber_band,0.4210550479692594,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.2,8.0,-12,phase_vocoder,0.0516347295285284,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,8.0,3,psola,0.2884184175759067,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.2,8.0,7,psola,0.321600804260522,False,False,0,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.2,8.0,12,phase_vocoder,0.0900413177995441,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,8.0,-12,phase_vocoder,0.0532483206879294,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,8.0,3,psola,0.2908851224818943,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.35,8.0,7,psola,0.3229921162300075,False,False,0,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.35,8.0,12,phase_vocoder,0.0957468460102779,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,8.0,-12,phase_vocoder,0.0536880382941937,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,8.0,3,psola,0.2939273230639768,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.5,8.0,7,psola,0.3224083927358802,False,False,0,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.5,8.0,12,phase_vocoder,0.0999817753637729,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,8.0,-12,phase_vocoder,0.0536159712295885,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,8.0,3,psola,0.2966491087839352,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.75,8.0,7,psola,0.3231239982045468,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.75,8.0,12,phase_vocoder,0.1046763990622725,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,1.0,8.0,-12,phase_vocoder,0.0563808831178214,False,True,2,True,0.51
thr0.50_bonus0.06_rms5_str0.30,1.0,8.0,3,psola,0.3081144602675946,False,False,0,False,0.31
thr0.50_bonus0.06_rms5_str0.30,1.0,8.0,7,psola,0.3280477093226383,False,False,0,False,0.39
thr0.50_bonus0.06_rms5_str0.30,1.0,8.0,12,phase_vocoder,0.1111116697174622,False,False,0,True,0.51
