case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,59,1.3699773242630386,440.2728390384493,440.2728390384493,0.9989593192143679
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,60,1.3931972789115645,440.2728347591791,440.2728347591791,0.9989595005202512
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,61,1.4164172335600906,440.27283136096537,440.27283136096537,0.9989596610671846
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,62,1.4396371882086167,440.27282816610233,440.27282816610233,0.9989598008374347
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,63,1.4628571428571429,440.27282543842864,440.27282543842864,0.9989599226090491
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,64,1.486077097505669,440.27282320127426,440.27282320127426,0.99896002835101
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,65,1.509297052154195,440.2728210147159,440.2728210147159,0.9989601175999513
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,66,1.5325170068027212,440.2728195668318,440.2728195668318,0.9989601942616214
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,67,1.555736961451247,440.2728179174709,440.2728179174709,0.9989602556230104
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,68,1.5789569160997732,440.2728170631723,440.2728170631723,0.9989603062692799
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,69,1.6021768707482993,440.2728160170533,440.2728160170533,0.9989603430442136
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,70,1.6253968253968254,440.27281558341156,440.27281558341156,0.9989603694262273
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,71,1.6486167800453515,440.272815207123,440.272815207123,0.9989603836344976
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,72,1.6718367346938776,440.27281509972664,440.27281509972664,0.9989603866181171
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,73,1.6950566893424037,440.2728154066597,440.2728154066597,0.9989603789758823
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,74,1.7182766439909296,440.27281564110996,440.27281564110996,0.9989603587647377
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,75,1.7414965986394557,440.27281657702946,440.27281657702946,0.9989603286960623
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,76,1.7647165532879818,440.2728172695468,440.2728172695468,0.9989602848107721
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,77,1.787936507936508,440.27281874355435,440.27281874355435,0.9989602305233776
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,78,1.811156462585034,440.27282006508995,440.27282006508995,0.9989601615544774
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,79,1.8343764172335602,440.2728220114879,440.2728220114879,0.9989600801241092
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,80,1.8575963718820863,440.27282412860274,440.27282412860274,0.9989599833254993
