depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_catastrophic_count,fixed_catastrophic_any,adaptive_catastrophic,adaptive_composite_stress,worst_fixed_algorithm_label,worst_fixed_composite_stress,preflight_outcome
0.5,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,0,False,False,0.04389312391022874,WSOLA,0.49019867633282016,false_alarm
0.5,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,1,True,False,0.007422173816459254,WSOLA,0.5653058275388109,caught
0.5,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,1,True,False,0.03742554241202783,WSOLA,0.5839497537430528,caught
0.5,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,0,False,False,0.07722165532628397,WSOLA,0.4955367805460862,false_alarm
0.75,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,0,False,False,0.04144744726224472,WSOLA,0.37707738777412675,false_alarm
0.75,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5,high,pitch_motion|periodic_representation_bias|micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,1,True,False,0.006392802272556335,WSOLA,0.56932442156119,caught
0.75,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5800000000000001,high,pitch_motion|periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,1,True,False,0.03814522585271666,WSOLA,0.5693192067447971,caught
0.75,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,0,False,False,0.08386202647177193,WSOLA,0.49103986954555817,false_alarm
1.0,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,0,False,False,0.038766841067135516,WSOLA,0.4661255377947797,false_alarm
1.0,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5,high,pitch_motion|periodic_representation_bias|micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,1,True,False,0.006869798251381141,WSOLA,0.5446369791702315,caught
