selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,signal_family,signal_name,signal_label,case_id,case_label,shift_semitones,policy,policy_label,guard_applied,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
psola,PSOLA,False,selective_low_risk_psola,0.0,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:3,harmonic / saw +3,3,noise_plus_transient,Noise + Transient,False,0.48682142824530994,0.8611344741266238,456.800194541705,1.0,0.0005571626371754006,0.30830407598725623,0.14180151412437397,0.1502209175829352,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.1,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:3,harmonic / saw +3,3,forced_everywhere,Forced Everywhere,True,0.43813928542077896,0.6740374822783304,230.55660617598028,0.7827319687345577,0.0004986963965371043,0.21854624055312305,0.0710642828653017,0.09670307327165395,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:7,harmonic / saw +7,7,no_guard,No Guard,False,0.4835360442843951,0.8637156866805997,666.5285608896255,1.0,0.0005532169593949383,0.309542385857188,0.207375102569932,0.17249023512883832,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:7,harmonic / saw +7,7,current_v3,Current v3,False,0.4835360442843951,0.8637156866805997,666.5285608896255,1.0,0.0005532169593949383,0.309542385857188,0.207375102569932,0.17249023512883832,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:7,harmonic / saw +7,7,noise_only,Noise Only,False,0.4835360442843951,0.8637156866805997,666.5285608896255,1.0,0.0005532169593949383,0.309542385857188,0.207375102569932,0.17249023512883832,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:7,harmonic / saw +7,7,noise_plus_transient,Noise + Transient,False,0.4835360442843951,0.8637156866805997,666.5285608896255,1.0,0.0005532169593949383,0.309542385857188,0.207375102569932,0.17249023512883832,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.1,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:7,harmonic / saw +7,7,forced_everywhere,Forced Everywhere,True,0.43518243985595556,0.669932914260109,541.1252762146455,0.7756405546306222,0.0004951452865346882,0.21657711674697203,0.168166560958747,0.1284129409974179,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:12,harmonic / saw +12,12,no_guard,No Guard,False,0.4786545091954336,0.7209688146921078,1226.613388107646,1.0,0.0005473543373196483,0.24106105904318237,0.38249100412456266,0.2080331391683549,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:12,harmonic / saw +12,12,current_v3,Current v3,False,0.4786545091954336,0.7209688146921078,1226.613388107646,1.0,0.0005473543373196483,0.24106105904318237,0.38249100412456266,0.2080331391683549,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:12,harmonic / saw +12,12,noise_only,Noise Only,False,0.4786545091954336,0.7209688146921078,1226.613388107646,1.0,0.0005473543373196483,0.24106105904318237,0.38249100412456266,0.2080331391683549,0.4040532713727877,False
