case_id,case_family,case_label,physical_frequencies_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,observer_belief
octave_pure_880,pure_tones,880,880,rubber_band,Rubber Band,916.4318434953371,20.52645314086226,0.9138457617588462,0.9540229885057471,octave_seeking
octave_pure_880,pure_tones,880,880,psola,PSOLA,1763.1386270717987,0.0007491487519928341,0.9989708451030708,1.0,upper_partial_seeking
octave_mix_220_440,octave_mixtures,220 + 440,"220,440",phase_vocoder,Phase Vocoder,219.7260138119458,3.8772846664869576e-05,0.9804776764220237,1.0,subharmonic_seeking
octave_mix_220_440,octave_mixtures,220 + 440,"220,440",wsola,WSOLA,224.2289207505125,0.09068396128768086,0.882926305519891,0.9425287356321839,subharmonic_seeking
octave_mix_220_440,octave_mixtures,220 + 440,"220,440",rubber_band,Rubber Band,224.9032536413511,0.2879217009045476,0.8627588796267133,0.896551724137931,subharmonic_seeking
octave_mix_220_440,octave_mixtures,220 + 440,"220,440",psola,PSOLA,440.776995456805,0.001413603600155966,0.9929194581419708,1.0,fundamental_seeking
octave_mix_440_880,octave_mixtures,440 + 880,"440,880",phase_vocoder,Phase Vocoder,439.34931947915817,5.047942238434189e-06,0.9929733143391529,1.0,fundamental_seeking
octave_mix_440_880,octave_mixtures,440 + 880,"440,880",wsola,WSOLA,446.45679724292785,0.11807531356629397,0.9163866367955043,0.9655172413793104,fundamental_seeking
octave_mix_440_880,octave_mixtures,440 + 880,"440,880",rubber_band,Rubber Band,446.46501996203824,0.2127740131027167,0.9160561000468646,0.9540229885057471,fundamental_seeking
octave_mix_440_880,octave_mixtures,440 + 880,"440,880",psola,PSOLA,881.547636709422,0.003829272460620814,0.9974086400169072,1.0,octave_seeking
octave_mix_220_440_880,octave_mixtures,220 + 440 + 880,"220,440,880",phase_vocoder,Phase Vocoder,219.68095715969037,1.0368653192927013e-05,0.979185334417579,1.0,subharmonic_seeking
octave_mix_220_440_880,octave_mixtures,220 + 440 + 880,"220,440,880",wsola,WSOLA,223.52464026809423,0.08385673301927454,0.8887610480374707,0.9540229885057471,subharmonic_seeking
octave_mix_220_440_880,octave_mixtures,220 + 440 + 880,"220,440,880",rubber_band,Rubber Band,223.8337230034835,0.38336114260349063,0.8915159320956556,0.9655172413793104,subharmonic_seeking
octave_mix_220_440_880,octave_mixtures,220 + 440 + 880,"220,440,880",psola,PSOLA,440.769565117521,5.272197870453965e-05,0.9926995285903352,1.0,fundamental_seeking
octave_missing_440,missing_fundamental,880 + 1320 + 1760,"880,1320,1760",phase_vocoder,Phase Vocoder,439.3294806761356,9.716832778394746e-06,0.9909448458915765,1.0,subharmonic_seeking
octave_missing_440,missing_fundamental,880 + 1320 + 1760,"880,1320,1760",wsola,WSOLA,454.1130288724782,0.05304418346139528,0.900981429438145,0.9080459770114943,subharmonic_seeking
octave_missing_440,missing_fundamental,880 + 1320 + 1760,"880,1320,1760",rubber_band,Rubber Band,453.9760546669104,0.10985023512398584,0.9009449270168818,0.9080459770114943,subharmonic_seeking
octave_missing_440,missing_fundamental,880 + 1320 + 1760,"880,1320,1760",psola,PSOLA,881.5547317960795,0.002727988867377462,0.9970578998962284,1.0,octave_seeking
octave_subharmonic_440_220,subharmonics,440 + 220,"440,220",phase_vocoder,Phase Vocoder,219.7260138119458,3.8772846664869576e-05,0.9804776764220237,1.0,subharmonic_seeking
octave_subharmonic_440_220,subharmonics,440 + 220,"440,220",wsola,WSOLA,224.2289207505125,0.09068396128768086,0.882926305519891,0.9425287356321839,subharmonic_seeking
octave_subharmonic_440_220,subharmonics,440 + 220,"440,220",rubber_band,Rubber Band,224.9032536413511,0.2879217009045476,0.8627588796267133,0.896551724137931,subharmonic_seeking
octave_subharmonic_440_220,subharmonics,440 + 220,"440,220",psola,PSOLA,440.776995456805,0.001413603600155966,0.9929194581419708,1.0,fundamental_seeking
octave_subharmonic_440_110,subharmonics,440 + 110,"440,110",phase_vocoder,Phase Vocoder,109.86860838021076,1.2176863592117115e-05,0.9249580855016045,0.9885057471264368,subharmonic_seeking
octave_subharmonic_440_110,subharmonics,440 + 110,"440,110",wsola,WSOLA,111.99091580716708,0.04411545733360356,0.8309366657941868,0.9425287356321839,subharmonic_seeking
octave_subharmonic_440_110,subharmonics,440 + 110,"440,110",rubber_band,Rubber Band,111.70401731874948,0.09212651455733578,0.8412718846538547,0.9080459770114943,subharmonic_seeking
octave_subharmonic_440_110,subharmonics,440 + 110,"440,110",psola,PSOLA,220.88481773791418,5.404994169566635e-05,0.9759258494121147,1.0,subharmonic_seeking
octave_detuned_octave_875,detuned_octaves,440 + 875,"440,875",phase_vocoder,Phase Vocoder,437.3587029419942,1.158187768623975e-05,0.9943202063953589,1.0,fundamental_seeking
octave_detuned_octave_875,detuned_octaves,440 + 875,"440,875",wsola,WSOLA,445.9979029577039,0.08882270872470599,0.91472948296916,0.9540229885057471,fundamental_seeking
octave_detuned_octave_875,detuned_octaves,440 + 875,"440,875",rubber_band,Rubber Band,445.9875968411336,0.2083854191142791,0.9170178668917207,0.9655172413793104,fundamental_seeking
octave_detuned_octave_875,detuned_octaves,440 + 875,"440,875",psola,PSOLA,880.5996954249754,0.020149835648226144,0.9962300653874798,1.0,octave_seeking
octave_detuned_octave_885,detuned_octaves,440 + 885,"440,885",phase_vocoder,Phase Vocoder,441.3398354477799,5.157564942237514e-06,0.9926258909879975,1.0,fundamental_seeking
octave_detuned_octave_885,detuned_octaves,440 + 885,"440,885",wsola,WSOLA,458.8259131273091,0.3746441268013996,0.9264471451512474,1.0,fundamental_seeking
octave_detuned_octave_885,detuned_octaves,440 + 885,"440,885",rubber_band,Rubber Band,458.81709914410254,0.4331189740756827,0.9209892488012302,1.0,fundamental_seeking
octave_detuned_octave_885,detuned_octaves,440 + 885,"440,885",psola,PSOLA,882.4910779180135,0.027376440425655346,0.9972532384688325,1.0,octave_seeking
