signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,12,0.06992017609055552,0.21848567457850487,3201.6334530477275
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.09628517293751546,0.3958872213021121,1432.0490562917569
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,3,0.07992761118808643,0.24682918676033777,816.4214961463454
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,7,0.07554255951738333,0.23493442651715143,1215.0313451277086
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,12,0.0732705126248087,0.2226286186474241,1272.3051603842018
modulated,fm_tone,modulated / fm_tone,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.7512820314112465,0.5025203066693883,179.8490221245527
modulated,fm_tone,modulated / fm_tone,psola,PSOLA,local pitch-synchronous overlap-add,3,0.725245940614281,0.49786744147946094,836.9379078658193
modulated,fm_tone,modulated / fm_tone,psola,PSOLA,local pitch-synchronous overlap-add,7,0.6500003765811201,0.4216551456838065,167.9000665641164
modulated,fm_tone,modulated / fm_tone,psola,PSOLA,local pitch-synchronous overlap-add,12,0.6372784153879674,0.41739425448800277,538.3678234132227
modulated,vibrato_tone,modulated / vibrato_tone,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.7385939294096908,0.43218769786520694,216.93444697214125
modulated,vibrato_tone,modulated / vibrato_tone,psola,PSOLA,local pitch-synchronous overlap-add,3,0.6942195296669267,0.4951014661436938,790.6670168020439
modulated,vibrato_tone,modulated / vibrato_tone,psola,PSOLA,local pitch-synchronous overlap-add,7,0.6497725515138332,0.4710457391599008,910.4538788645834
modulated,vibrato_tone,modulated / vibrato_tone,psola,PSOLA,local pitch-synchronous overlap-add,12,0.635810345117844,0.3759971010721797,358.98937791741713
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.26360527390963623,0.6608035780239838,325.8256384753267
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,3,0.24119717412988606,0.7864667745415014,779.3983831827461
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,7,0.2503966061568911,0.9213896314390565,1304.2425785520106
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,12,0.23249267991945347,1.0410307105238652,1885.0118536852485
