signal_family,signal_name,signal_label,shift_semitones,adaptive_state,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,composite_stress
transient,impulse_train,transient / impulse_train,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|high_centroid|high_crest_factor,0.0,,,,0.0,1.0000000000000007,0.06387176396760708
transient,impulse_train,transient / impulse_train,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|high_centroid|high_crest_factor|moderate_shift,0.0,,,,0.0,1.0000000000000007,0.028344589775898387
transient,impulse_train,transient / impulse_train,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|high_centroid|high_crest_factor|large_shift,0.0,,,,0.0,1.0000000000000007,0.009419400317906487
transient,impulse_train,transient / impulse_train,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|high_centroid|high_crest_factor|large_shift,0.0,,,,0.0,1.0000000000000007,0.23780650053021102
transient,click_sequence,transient / click_sequence,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.8799999999999999,high,untracked_pitch|noise_like_spectrum|sparse_transients|peaky_waveform,0.0,,,,0.0,0.6417541529548693,0.010064595547956334
transient,click_sequence,transient / click_sequence,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.9599999999999999,high,untracked_pitch|noise_like_spectrum|sparse_transients|peaky_waveform|moderate_shift,0.0,,,,0.0,0.6417541529548693,0.018351339671556884
transient,click_sequence,transient / click_sequence,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|peaky_waveform|large_shift,0.0,,,,0.0,0.6417541529548693,0.03176970824335008
transient,click_sequence,transient / click_sequence,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|sparse_transients|peaky_waveform|large_shift,0.0,,,,0.0,0.6417541529548693,0.027493861349817784
modulated,vibrato_tone,modulated / vibrato_tone,3,medium,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,41.9231799026808,20.63018045235037,5.44517780172413,0.47533708472501157,1.0636372381794743e-06,0.12656599169249186
modulated,vibrato_tone,modulated / vibrato_tone,7,high,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,41.9231799026808,20.63018045235037,5.44517780172413,0.47533708472501157,1.0636372381794743e-06,0.1351855411819327
modulated,vibrato_tone,modulated / vibrato_tone,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,41.9231799026808,20.63018045235037,5.44517780172413,0.47533708472501157,1.0636372381794743e-06,0.06735645575348288
modulated,vibrato_tone,modulated / vibrato_tone,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,41.9231799026808,20.63018045235037,5.44517780172413,0.47533708472501157,1.0636372381794743e-06,0.05207895210281427
modulated,fm_tone,modulated / fm_tone,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.56,high,strong_pitch_motion|periodic_representation_bias|selective_micro_modulation_trap,1.0,197.69456333372096,99.5002307320405,2.9700969827586166,0.47369483728731915,8.482255387199389e-07,0.020146217786269596
modulated,fm_tone,modulated / fm_tone,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.6399999999999999,high,strong_pitch_motion|periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,197.69456333372096,99.5002307320405,2.9700969827586166,0.47369483728731915,8.482255387199389e-07,0.049615967349920485
modulated,fm_tone,modulated / fm_tone,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.76,high,strong_pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,197.69456333372096,99.5002307320405,2.9700969827586166,0.47369483728731915,8.482255387199389e-07,0.06919274913848435
modulated,fm_tone,modulated / fm_tone,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.76,high,strong_pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,197.69456333372096,99.5002307320405,2.9700969827586166,0.47369483728731915,8.482255387199389e-07,0.04792693453968971
