signal_family,signal_name,signal_label,case_label,shift_semitones,dry_mix,algorithm,algorithm_label,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,dry_similarity,peak_preservation,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.4,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.013738673917685698,0.2359875855026615,513.287378744946,0.5746065382368905,0.33156730689759517,0.4079126997364316,0.0,0.008396359690203348,0.15987116391554582,0.056089174535249725,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.5,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.01144889493140475,0.1945629257726084,427.78937232459515,0.47374156996143646,0.442972755747996,0.500000000000044,0.0,0.0,0.13315237896889445,0.04438412632296482,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.6,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0091591159451238,0.15378559695859867,349.7383358298522,0.37445278873823407,0.5543782045983967,0.6000000000000352,0.0,0.0,0.10876082943131495,0.03625360981043831,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.7,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.00686933695884285,0.11383493902600941,275.3399346117978,0.27717686972734873,0.6657836534487975,0.7000000000000264,0.0,0.0,0.08551075652614457,0.028503585508714856,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.85,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.003434668479421425,0.055695993966048914,162.05008317534347,0.1356142621584353,0.8328918267243988,0.8500000000000132,0.0,0.0,0.05010680614294348,0.016702268714314492,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,1.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.09996808147926635,0.2706163673807263,227.81600431615,1.0,0.0,0.6696090754496942,9.530953150756293e-05,0.02500915754649441,0.07065916259369444,0.03192120989056547,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.08997127333133971,0.248443060823732,222.03584982711843,0.9180636900435553,0.0,0.6026481679047248,8.330360593424311e-05,0.01437174439884184,0.06885281983534335,0.02776928928003981,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.07997446518341307,0.2272735038436046,214.70746665424576,0.8398365037686606,0.015432542167874153,0.5356872603597553,7.129768036092331e-05,0.004215869668496127,0.06656264369907221,0.023616603682643084,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.3,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.06997765703548645,0.20863889355674378,206.14706840114317,0.7709766248661992,0.13850347439688981,0.46872635281478586,5.929175478760352e-05,0.0,0.06388745336939575,0.02131558170806112,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.4,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.05998084888755981,0.18768276202898393,196.06196963607627,0.6935381028337274,0.2615744066259056,0.4259785835099223,4.7285829214283716e-05,0.0,0.06073578239656915,0.02026102274192781,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.5,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.049984040739633175,0.16268740738623624,184.8679884666952,0.6011735689192578,0.38464533885492125,0.5216488195916018,3.5279903640963915e-05,0.0,0.05723757713911456,0.019090952347585174,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.6,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.03998723259170654,0.13676425716947657,172.87591204627256,0.5053805817187136,0.5077162710839369,0.6173190556732815,2.3273978067644116e-05,0.0,0.05348996097405723,0.017837744984041625,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.7,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.02999042444377991,0.10787708528250997,159.50038161827055,0.39863474011806255,0.6307872033129527,0.7129892917549611,1.1268052494324318e-05,0.0,0.049310004785416646,0.016440424279303655,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,0.85,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.014995212221889955,0.05809753263872407,136.29227603126125,0.21468595266814544,0.8153936016564763,0.8564946458774806,0.0,0.0,0.0420572931941101,0.014019097731370033,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence +12,12,1.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence -12,-12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.08943885017858422,0.3360734551127561,86.39302775143344,1.0,0.0,0.2991939394932993,8.266417856393587e-05,0.05641151442357928,0.02646339411261134,0.027652524238251517,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence -12,-12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0804949651607258,0.2683364824961038,58.292519983812426,0.7984459302388942,0.009024655121812941,0.2692745455439694,7.192278828497878e-05,0.023915406491166684,0.01768176919093294,0.0138896994901282,0.40410895268938746,False
transient,click_sequence,transient / click_sequence,transient / click_sequence -12,-12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.07155108014286737,0.22220806979464722,51.62099050548848,0.6611889942932093,0.11913302677494486,0.23935515159463946,6.118139800602168e-05,0.0017857803801689725,0.015596864888952008,0.005814608889042334,0.40410895268938746,False
