depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_danger_count,fixed_danger_any,worst_fixed_algorithm_label,worst_fixed_composite_stress,v1_composite_stress,v2_composite_stress,v2_catastrophic,fixed_danger_avoided
0.35,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,0,False,WSOLA,0.5161412951610495,0.045249174253341774,0.06344521169571758,False,False
0.35,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,1,True,WSOLA,0.5445643733899809,0.005834788340614887,0.3177952388525605,False,True
0.35,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,1,True,WSOLA,0.588851279421267,0.037647569439173946,0.35746860525488405,False,True
0.35,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,0,False,WSOLA,0.48322324620941365,0.07339188682756682,0.10151499496155321,False,False
0.5,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,0,False,WSOLA,0.49019867633282016,0.04389312391022874,0.06283488445224612,False,False
0.5,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,1,True,WSOLA,0.5653058275388109,0.007422173816459265,0.31504534359396513,False,True
0.5,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,1,True,WSOLA,0.5839497537430528,0.037425542412027835,0.3697369665624896,False,True
0.5,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,65.41483418189009,33.28595354826114,1.980064655172411,0.4902793664703223,9.344997045279706e-07,0.5240090363523335,0,False,WSOLA,0.4955367805460862,0.07722165532628397,0.10270648477910116,False,False
0.75,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.6600000000000001,high,pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,0,False,WSOLA,0.37707738777412675,0.041447447262244724,0.062194171212834694,False,False
0.75,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.46,high,pitch_motion|periodic_representation_bias|selective_micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,1,True,WSOLA,0.56932442156119,0.006392802272556344,0.3292959319209261,False,True
0.75,2.0,7,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.54,high,pitch_motion|periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,1,True,WSOLA,0.5693192067447971,0.03814522585271667,0.06053926904862522,False,True
0.75,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.6600000000000001,high,pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,98.129134181697,50.014889291877104,1.980064655172411,0.48986613750045677,6.23519467632718e-07,0.5240090363523335,0,False,WSOLA,0.49103986954555817,0.08386202647177197,0.10729522982645445,False,False
1.0,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.6600000000000001,high,pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,0,False,WSOLA,0.4661255377947797,0.03876684106713552,0.06142304943864326,False,False
1.0,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.46,high,pitch_motion|periodic_representation_bias|selective_micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,1,True,WSOLA,0.5446369791702315,0.006869798251381142,0.3281745607089993,False,True
1.0,2.0,7,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.54,high,pitch_motion|periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,1,True,WSOLA,0.5553355854821912,0.04017181963515485,0.061774021432817176,False,True
1.0,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.6600000000000001,high,pitch_motion|periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,0,False,WSOLA,0.4565296071735292,0.08819443900851437,0.11013986173673275,False,False
0.0,4.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,WSOLA,0.5973914677579687,0.04605102536125225,0.5052313702515782,False,True
0.0,4.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,WSOLA,0.4962888040293905,0.29516438617601753,0.29516438617601753,False,False
0.0,4.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,WSOLA,0.5877129015552617,0.029004698121759237,0.32407246927462235,False,True
0.0,4.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,WSOLA,0.4392719651419859,0.05093908685122051,0.38738333163480215,False,False
0.025,4.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,1,True,WSOLA,0.5812199912474633,0.04611841279192372,0.4950529902763343,False,True
